Eb/N0(dB),Es/N0(dB),Sigma,BE,FN,FE,BER,FER,Time_Total(s),Time_Avg(s)
0.00000000,-4.77121258,1.22474492,266,109,100,0.07626147,0.91743118,0.00163899,0.00001504
1.00000000,-3.77121258,1.09155500,246,120,100,0.06406250,0.83333331,0.00252811,0.00002107
2.00000000,-2.77121258,0.97284943,165,152,100,0.03392270,0.65789473,0.00228301,0.00001502
3.00000000,-1.77121258,0.86705297,136,177,100,0.02401130,0.56497175,0.00264875,0.00001496
4.00000000,-0.77121258,0.77276176,122,340,100,0.01121324,0.29411766,0.00511942,0.00001506
5.00000000,0.22878742,0.68872464,116,573,100,0.00632635,0.17452008,0.00851840,0.00001487
6.00000000,1.22878742,0.61382651,103,1449,100,0.00222136,0.06901311,0.01923911,0.00001328
7.00000000,2.22878742,0.54707342,100,4725,100,0.00066138,0.02116402,0.06258713,0.00001325
8.00000000,3.22878742,0.48757970,100,16104,100,0.00019405,0.00620964,0.21318457,0.00001324
9.00000000,4.22878742,0.43455589,100,86299,100,0.00003621,0.00115876,1.14225474,0.00001324
10.00000000,5.22878742,0.38729832,100,873046,100,0.00000358,0.00011454,11.55941278,0.00001324
11.00000000,6.22878742,0.34518000,100,11456446,100,0.00000027,0.00000873,151.77807437,0.00001325
12.00000000,7.22878742,0.30764201,100,317557014,100,0.00000001,0.00000031,4205.28404990,0.00001324
