Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,0.00,7.0711e-01,286,100,106,8.4316e-02,9.4340e-01,2.5128e-04,2.3706e-06,1.3499e+01,4.5690e+02,3.7011e+01,3.5212e+02,4.7741e+02,4.6903e+02,3.9506e+01,4.3265e+02,4.5690e+02,4.1569e+02,2.5481e+02
1.00,1.00,6.3021e-01,213,100,129,5.1599e-02,7.7519e-01,2.8719e-04,2.2263e-06,1.4374e+01,4.3729e+02,4.5806e+01,3.9938e+02,4.5745e+02,4.4637e+02,4.3830e+01,4.4325e+02,4.3729e+02,4.6555e+02,2.6327e+02
2.00,2.00,5.6167e-01,180,100,151,3.7252e-02,6.6225e-01,3.3618e-04,2.2264e-06,1.4373e+01,4.4936e+02,4.5921e+01,4.0046e+02,4.6177e+02,4.7040e+02,4.3790e+01,4.4807e+02,4.4936e+02,4.3020e+02,2.7013e+02
3.00,3.00,5.0059e-01,141,100,183,2.4078e-02,5.4645e-01,4.0633e-04,2.2204e-06,1.4412e+01,4.5522e+02,4.5656e+01,4.0214e+02,4.5636e+02,4.6325e+02,4.3725e+01,4.4203e+02,4.5522e+02,4.3056e+02,2.6909e+02
4.00,4.00,4.4615e-01,122,100,270,1.4120e-02,3.7037e-01,6.2535e-04,2.3161e-06,1.3816e+01,4.5526e+02,4.5302e+01,3.9706e+02,4.6305e+02,4.5151e+02,3.9110e+01,4.4260e+02,4.5526e+02,4.3408e+02,2.6758e+02
5.00,5.00,3.9764e-01,111,100,538,6.4475e-03,1.8587e-01,1.2705e-03,2.3616e-06,1.3550e+01,4.2901e+02,4.2994e+01,3.8288e+02,4.4025e+02,4.2900e+02,4.1023e+01,4.2127e+02,4.2901e+02,4.2062e+02,2.5256e+02
6.00,6.00,3.5439e-01,101,100,1414,2.2321e-03,7.0721e-02,3.3200e-03,2.3479e-06,1.3629e+01,4.2938e+02,4.3479e+01,3.8736e+02,4.4157e+02,4.3760e+02,4.0710e+01,4.2793e+02,4.2938e+02,4.2820e+02,2.5448e+02
7.00,7.00,3.1585e-01,101,100,4193,7.5274e-04,2.3849e-02,8.8524e-03,2.1112e-06,1.5157e+01,4.7291e+02,4.8224e+01,4.2484e+02,4.8838e+02,4.9124e+02,4.5981e+01,4.7295e+02,4.7291e+02,4.9153e+02,2.8243e+02
8.00,8.00,2.8150e-01,101,100,17828,1.7704e-04,5.6092e-03,3.4977e-02,1.9619e-06,1.6310e+01,5.1235e+02,5.1616e+01,4.5483e+02,5.2361e+02,5.2559e+02,4.9474e+01,5.0509e+02,5.1235e+02,5.2552e+02,2.9988e+02
9.00,9.00,2.5089e-01,100,100,82968,3.7665e-05,1.2053e-03,1.6237e-01,1.9570e-06,1.6352e+01,5.1310e+02,5.1819e+01,4.5459e+02,5.2349e+02,5.2558e+02,4.9390e+01,5.0739e+02,5.1310e+02,5.2637e+02,3.0556e+02
10.00,10.00,2.2361e-01,100,100,854747,3.6561e-06,1.1699e-04,1.6729e+00,1.9572e-06,1.6350e+01,5.1277e+02,5.1853e+01,4.5585e+02,5.2366e+02,5.2709e+02,4.9429e+01,5.0817e+02,5.1277e+02,5.2626e+02,3.0534e+02
11.00,11.00,1.9929e-01,100,100,11317960,2.7611e-07,8.8355e-06,2.2158e+01,1.9578e-06,1.6345e+01,5.1301e+02,5.1779e+01,4.5543e+02,5.2413e+02,5.2696e+02,4.9393e+01,5.0822e+02,5.1301e+02,5.2608e+02,3.0525e+02
12.00,12.00,1.7762e-01,100,100,383796416,8.1423e-09,2.6055e-07,7.5141e+02,1.9578e-06,1.6345e+01,5.1301e+02,5.1769e+01,4.5548e+02,5.2405e+02,5.2691e+02,4.9386e+01,5.0818e+02,5.1301e+02,5.2622e+02,3.0521e+02
