Eb/N0(dB),Es/N0(dB),Sigma,BE,FN,FE,BER,FER,Time_Total(s),Time_Avg(s)
0.00000000,-6.02060032,1.41421366,299,109,100,0.08572248,0.91743118,0.00251191,0.00002305
1.00000000,-5.02060032,1.26041925,216,114,100,0.05921053,0.87719297,0.00224058,0.00001965
2.00000000,-4.02060032,1.12334979,171,150,100,0.03562500,0.66666669,0.00294213,0.00001961
3.00000000,-3.02060032,1.00118661,141,188,100,0.02343750,0.53191489,0.00376699,0.00002004
4.00000000,-2.02060032,0.89230847,117,332,100,0.01101280,0.30120483,0.00598779,0.00001804
5.00000000,-1.02060032,0.79527074,105,603,100,0.00544154,0.16583748,0.01034476,0.00001716
6.00000000,-0.02060032,0.70878583,103,1254,100,0.00256679,0.07974482,0.02145568,0.00001711
7.00000000,0.97939968,0.63170600,101,4711,100,0.00066997,0.02122692,0.08064688,0.00001712
8.00000000,1.97939968,0.56300861,101,13490,100,0.00023397,0.00741290,0.23075607,0.00001711
9.00000000,2.97939968,0.50178194,100,91491,100,0.00003416,0.00109300,1.56583861,0.00001711
10.00000000,3.97939968,0.44721362,100,985571,100,0.00000317,0.00010146,16.87861853,0.00001713
11.00000000,4.97939968,0.39857957,100,11867129,100,0.00000026,0.00000843,203.20850465,0.00001712
12.00000000,5.97939968,0.35523441,100,350198257,100,0.00000001,0.00000029,5996.07117522,0.00001712
