Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-6.02,1.4142e+00,1630,100,100,5.0937e-01,1.0000e+00,2.0349e-03,2.0349e-05,1.5725e+06,8.8131e-07,3.6310e+01
1.00,-5.02,1.2604e+00,1657,100,100,5.1781e-01,1.0000e+00,2.0671e-03,2.0671e-05,1.5480e+06,8.8384e-07,3.6206e+01
2.00,-4.02,1.1233e+00,1608,100,100,5.0250e-01,1.0000e+00,2.0267e-03,2.0267e-05,1.5789e+06,8.8576e-07,3.6127e+01
3.00,-3.02,1.0012e+00,1550,100,100,4.8438e-01,1.0000e+00,1.9672e-03,1.9672e-05,1.6267e+06,8.4448e-07,3.7893e+01
4.00,-2.02,8.9231e-01,1546,100,100,4.8313e-01,1.0000e+00,1.8969e-03,1.8969e-05,1.6870e+06,8.2403e-07,3.8834e+01
5.00,-1.02,7.9527e-01,1611,100,100,5.0344e-01,1.0000e+00,1.9235e-03,1.9235e-05,1.6636e+06,8.3235e-07,3.8445e+01
6.00,-0.02,7.0879e-01,1608,100,100,5.0250e-01,1.0000e+00,1.8957e-03,1.8957e-05,1.6880e+06,8.2658e-07,3.8714e+01
7.00,0.98,6.3171e-01,1593,100,100,4.9781e-01,1.0000e+00,1.8317e-03,1.8317e-05,1.7470e+06,7.8530e-07,4.0749e+01
8.00,1.98,5.6301e-01,1621,100,100,5.0656e-01,1.0000e+00,1.7861e-03,1.7861e-05,1.7917e+06,7.8144e-07,4.0950e+01
9.00,2.98,5.0178e-01,1579,100,100,4.9344e-01,1.0000e+00,1.7954e-03,1.7954e-05,1.7823e+06,7.7793e-07,4.1135e+01
10.00,3.98,4.4721e-01,1652,100,100,5.1625e-01,1.0000e+00,1.7827e-03,1.7827e-05,1.7950e+06,7.7506e-07,4.1287e+01
11.00,4.98,3.9858e-01,1548,100,100,4.8375e-01,1.0000e+00,1.8058e-03,1.8058e-05,1.7721e+06,7.7697e-07,4.1186e+01
12.00,5.98,3.5523e-01,1617,100,100,5.0531e-01,1.0000e+00,1.7873e-03,1.7873e-05,1.7904e+06,7.7313e-07,4.1390e+01
