Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-4.77,1.2247e+00,266,100,109,7.6261e-02,9.1743e-01,1.3632e-03,1.2507e-05,2.5587e+00,1.5737e+02,2.5070e+01,0.0000e+00,6.0120e+01,1.2490e+03,1.0113e+01,1.1642e+03,1.5737e+02,1.8089e+02,0.0000e+00
1.00,-3.77,1.0916e+00,246,100,120,6.4062e-02,8.3333e-01,1.4935e-03,1.2446e-05,2.5711e+00,1.5453e+02,2.5292e+01,0.0000e+00,6.0338e+01,1.2210e+03,1.0143e+01,1.2008e+03,1.5453e+02,1.8274e+02,0.0000e+00
2.00,-2.77,9.7285e-01,165,100,152,3.3923e-02,6.5789e-01,1.9008e-03,1.2505e-05,2.5590e+00,1.5941e+02,2.5288e+01,0.0000e+00,6.0419e+01,1.2234e+03,1.0035e+01,1.1914e+03,1.5941e+02,2.2267e+02,0.0000e+00
3.00,-1.77,8.6705e-01,136,100,177,2.4011e-02,5.6497e-01,2.1939e-03,1.2395e-05,2.5817e+00,1.6521e+02,2.5404e+01,0.0000e+00,6.0710e+01,1.2468e+03,1.0138e+01,1.2617e+03,1.6521e+02,2.3580e+02,0.0000e+00
4.00,-0.77,7.7276e-01,122,100,340,1.1213e-02,2.9412e-01,4.3304e-03,1.2737e-05,2.5124e+00,1.7216e+02,1.4735e+01,0.0000e+00,6.3990e+01,1.2901e+03,1.0661e+01,1.2616e+03,1.7216e+02,2.6637e+02,0.0000e+00
5.00,0.23,6.8872e-01,116,100,573,6.3264e-03,1.7452e-01,6.7560e-03,1.1791e-05,2.7140e+00,1.7448e+02,2.7647e+01,0.0000e+00,6.5701e+01,1.3363e+03,1.0527e+01,1.3127e+03,1.7448e+02,2.8247e+02,0.0000e+00
6.00,1.23,6.1383e-01,103,100,1449,2.2214e-03,6.9013e-02,1.5896e-02,1.0970e-05,2.9170e+00,1.8232e+02,2.8658e+01,0.0000e+00,6.7962e+01,1.3993e+03,1.1436e+01,1.3519e+03,1.8232e+02,3.0003e+02,0.0000e+00
7.00,2.23,5.4707e-01,100,100,4725,6.6138e-04,2.1164e-02,5.1804e-02,1.0964e-05,2.9187e+00,1.8146e+02,2.8644e+01,0.0000e+00,6.8211e+01,1.3980e+03,1.1438e+01,1.3648e+03,1.8146e+02,3.0375e+02,0.0000e+00
8.00,3.23,4.8758e-01,100,100,16104,1.9405e-04,6.2096e-03,1.7636e-01,1.0952e-05,2.9220e+00,1.8293e+02,2.8611e+01,0.0000e+00,6.8146e+01,1.4070e+03,1.1455e+01,1.3625e+03,1.8293e+02,3.0506e+02,0.0000e+00
9.00,4.23,4.3456e-01,100,100,86299,3.6211e-05,1.1588e-03,9.4488e-01,1.0949e-05,2.9227e+00,1.8208e+02,2.8614e+01,0.0000e+00,6.8153e+01,1.4012e+03,1.1459e+01,1.3694e+03,1.8208e+02,3.0598e+02,0.0000e+00
10.00,5.23,3.8730e-01,100,100,873046,3.5794e-06,1.1454e-04,9.5627e+00,1.0953e-05,2.9215e+00,1.8254e+02,2.8605e+01,0.0000e+00,6.8213e+01,1.4015e+03,1.1453e+01,1.3644e+03,1.8254e+02,3.0574e+02,0.0000e+00
11.00,6.23,3.4518e-01,100,100,11456446,2.7277e-07,8.7287e-06,1.2589e+02,1.0989e-05,2.9120e+00,1.8178e+02,2.8484e+01,0.0000e+00,6.7927e+01,1.4020e+03,1.1418e+01,1.3590e+03,1.8178e+02,3.0449e+02,0.0000e+00
12.00,7.23,3.0764e-01,100,100,317557014,9.8408e-09,3.1490e-07,3.4794e+03,1.0957e-05,2.9206e+00,1.8230e+02,2.8578e+01,0.0000e+00,6.8146e+01,1.4075e+03,1.1450e+01,1.3625e+03,1.8230e+02,3.0557e+02,0.0000e+00
