Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-4.77,1.2247e+00,261,100,109,7.4828e-02,9.1743e-01,4.1185e-04,3.7784e-06,8.4692e+00,4.5041e+02,3.9608e+01,3.4936e+02,3.8652e+02,1.2479e+03,4.6422e+01,1.1891e+03,4.5041e+02,4.2745e+02,3.8068e+02
1.00,-3.77,1.0916e+00,210,100,116,5.6573e-02,8.6207e-01,4.2788e-04,3.6886e-06,8.6753e+00,4.4275e+02,4.4615e+01,4.0845e+02,4.3446e+02,1.3436e+03,4.6824e+01,1.2472e+03,4.4275e+02,4.4615e+02,3.8450e+02
2.00,-2.77,9.7285e-01,148,100,144,3.2118e-02,6.9444e-01,5.6791e-04,3.9438e-06,8.1139e+00,4.4578e+02,4.5685e+01,4.0111e+02,4.3114e+02,1.3714e+03,4.1582e+01,1.2067e+03,4.4578e+02,4.4032e+02,3.8332e+02
3.00,-1.77,8.6705e-01,150,100,185,2.5338e-02,5.4054e-01,6.7937e-04,3.6723e-06,8.7139e+00,4.6250e+02,4.4048e+01,4.0929e+02,4.4791e+02,1.4015e+03,4.7057e+01,1.2198e+03,4.6250e+02,4.2923e+02,3.8487e+02
4.00,-0.77,7.7276e-01,123,100,344,1.1174e-02,2.9070e-01,1.2626e-03,3.6705e-06,8.7182e+00,4.4558e+02,4.6892e+01,4.0952e+02,4.3822e+02,1.3833e+03,4.7024e+01,1.2056e+03,4.4558e+02,4.3820e+02,3.8914e+02
5.00,0.23,6.8872e-01,108,100,594,5.6818e-03,1.6835e-01,2.1978e-03,3.7001e-06,8.6485e+00,4.4762e+02,4.5947e+01,4.0628e+02,4.4195e+02,1.3551e+03,4.6278e+01,1.2114e+03,4.4762e+02,4.4763e+02,3.8695e+02
6.00,1.23,6.1383e-01,104,100,1447,2.2460e-03,6.9109e-02,5.5148e-03,3.8112e-06,8.3963e+00,4.5979e+02,4.7324e+01,4.1025e+02,4.4729e+02,1.4003e+03,4.8135e+01,1.2597e+03,4.5979e+02,1.1173e+02,3.7567e+02
7.00,2.23,5.4707e-01,102,100,3787,8.4170e-04,2.6406e-02,1.2645e-02,3.3390e-06,9.5837e+00,5.0940e+02,5.2265e+01,4.5309e+02,4.9206e+02,1.5126e+03,5.0862e+01,1.3829e+03,5.0940e+02,4.6996e+02,4.3189e+02
8.00,3.23,4.8758e-01,101,100,15245,2.0704e-04,6.5595e-03,4.9806e-02,3.2670e-06,9.7949e+00,5.1153e+02,5.2438e+01,4.5523e+02,4.9348e+02,1.5305e+03,5.2427e+01,1.3888e+03,5.1153e+02,5.2750e+02,4.3329e+02
9.00,4.23,4.3456e-01,101,100,86996,3.6280e-05,1.1495e-03,2.8218e-01,3.2436e-06,9.8655e+00,5.0801e+02,5.2269e+01,4.5629e+02,4.9345e+02,1.5259e+03,5.3055e+01,1.3905e+03,5.0801e+02,5.2963e+02,4.3574e+02
10.00,5.23,3.8730e-01,100,100,819167,3.8149e-06,1.2208e-04,2.6574e+00,3.2441e-06,9.8641e+00,5.0950e+02,5.2323e+01,4.5729e+02,4.9366e+02,1.5291e+03,5.3035e+01,1.3877e+03,5.0950e+02,5.2853e+02,4.3563e+02
11.00,6.23,3.4518e-01,100,100,14173937,2.2048e-07,7.0552e-06,4.6015e+01,3.2465e-06,9.8568e+00,5.0944e+02,5.2329e+01,4.5723e+02,4.9374e+02,1.5268e+03,5.2976e+01,1.3873e+03,5.0944e+02,5.2850e+02,4.3559e+02
12.00,7.23,3.0764e-01,100,100,341247272,9.1576e-09,2.9304e-07,1.1083e+03,3.2477e-06,9.8532e+00,5.0930e+02,5.2265e+01,4.5691e+02,4.9314e+02,1.5266e+03,5.2955e+01,1.3877e+03,5.0930e+02,5.2850e+02,4.3544e+02
