Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-6.02,1.4142e+00,1644,100,100,5.1375e-01,1.0000e+00,2.2117e-03,2.2117e-05,1.4468e+06,2.5018e-06,1.2791e+01
1.00,-5.02,1.2604e+00,1650,100,100,5.1562e-01,1.0000e+00,2.0414e-03,2.0414e-05,1.5676e+06,2.2320e-06,1.4337e+01
2.00,-4.02,1.1233e+00,1599,100,100,4.9969e-01,1.0000e+00,2.0104e-03,2.0104e-05,1.5918e+06,2.0954e-06,1.5272e+01
3.00,-3.02,1.0012e+00,1555,100,100,4.8594e-01,1.0000e+00,1.9981e-03,1.9981e-05,1.6015e+06,2.0145e-06,1.5885e+01
4.00,-2.02,8.9231e-01,1550,100,100,4.8438e-01,1.0000e+00,1.8729e-03,1.8729e-05,1.7086e+06,1.8474e-06,1.7322e+01
5.00,-1.02,7.9527e-01,1610,100,100,5.0313e-01,1.0000e+00,1.8727e-03,1.8727e-05,1.7088e+06,1.7127e-06,1.8684e+01
6.00,-0.02,7.0879e-01,1608,100,100,5.0250e-01,1.0000e+00,1.8521e-03,1.8521e-05,1.7278e+06,1.6506e-06,1.9387e+01
7.00,0.98,6.3171e-01,1595,100,100,4.9844e-01,1.0000e+00,1.8542e-03,1.8542e-05,1.7258e+06,1.5725e-06,2.0349e+01
8.00,1.98,5.6301e-01,1620,100,100,5.0625e-01,1.0000e+00,1.8425e-03,1.8425e-05,1.7368e+06,1.5559e-06,2.0567e+01
9.00,2.98,5.0178e-01,1578,100,100,4.9312e-01,1.0000e+00,1.8481e-03,1.8481e-05,1.7315e+06,1.5139e-06,2.1137e+01
10.00,3.98,4.4721e-01,1652,100,100,5.1625e-01,1.0000e+00,1.8340e-03,1.8340e-05,1.7448e+06,1.4785e-06,2.1644e+01
11.00,4.98,3.9858e-01,1548,100,100,4.8375e-01,1.0000e+00,1.8453e-03,1.8453e-05,1.7342e+06,1.4740e-06,2.1709e+01
12.00,5.98,3.5523e-01,1617,100,100,5.0531e-01,1.0000e+00,1.8333e-03,1.8333e-05,1.7455e+06,1.4666e-06,2.1819e+01
13.00,6.98,3.1660e-01,1654,100,100,5.1688e-01,1.0000e+00,1.8590e-03,1.8590e-05,1.7213e+06,1.4624e-06,2.1882e+01
14.00,7.98,2.8217e-01,1577,100,100,4.9281e-01,1.0000e+00,1.8320e-03,1.8320e-05,1.7467e+06,1.4656e-06,2.1834e+01
15.00,8.98,2.5149e-01,1617,100,100,5.0531e-01,1.0000e+00,1.8318e-03,1.8318e-05,1.7470e+06,1.4650e-06,2.1843e+01
