Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-3.01,1.0000e+00,285,100,111,8.0236e-02,9.0090e-01,1.0848e-03,9.7733e-06,3.2742e+00,1.6972e+02,2.1705e+01,0.0000e+00,8.1556e+01,7.7895e+02,9.6274e+00,7.5768e+02,1.6972e+02,1.5925e+02,0.0000e+00
1.00,-2.01,8.9125e-01,222,100,122,5.6865e-02,8.1967e-01,1.1788e-03,9.6622e-06,3.3119e+00,1.8768e+02,2.2097e+01,0.0000e+00,8.1225e+01,8.2155e+02,9.6621e+00,7.8710e+02,1.8768e+02,1.7915e+02,0.0000e+00
2.00,-1.01,7.9433e-01,175,100,126,4.3403e-02,7.9365e-01,1.2151e-03,9.6435e-06,3.3183e+00,1.9414e+02,2.2097e+01,0.0000e+00,8.1871e+01,8.2614e+02,9.6592e+00,7.7778e+02,1.9414e+02,1.9535e+02,0.0000e+00
3.00,-0.01,7.0795e-01,138,100,206,2.0934e-02,4.8544e-01,2.0172e-03,9.7922e-06,3.2679e+00,1.9163e+02,2.2027e+01,0.0000e+00,8.0942e+01,8.4082e+02,9.4347e+00,7.6866e+02,1.9163e+02,2.0914e+02,0.0000e+00
4.00,0.99,6.3096e-01,114,100,317,1.1238e-02,3.1546e-01,3.0676e-03,9.6770e-06,3.3068e+00,1.8993e+02,2.1488e+01,0.0000e+00,8.1323e+01,8.2552e+02,9.6487e+00,7.8660e+02,1.8993e+02,2.1161e+02,0.0000e+00
5.00,1.99,5.6234e-01,108,100,630,5.3571e-03,1.5873e-01,6.5546e-03,1.0404e-05,3.0757e+00,1.7817e+02,2.0441e+01,0.0000e+00,7.5314e+01,7.6362e+02,8.9276e+00,7.4292e+02,1.7817e+02,1.9798e+02,0.0000e+00
6.00,2.99,5.0119e-01,104,100,1419,2.2903e-03,7.0472e-02,1.7933e-02,1.2637e-05,2.5321e+00,1.4876e+02,1.6949e+01,0.0000e+00,6.2234e+01,6.5016e+02,7.3032e+00,6.2885e+02,1.4876e+02,1.6751e+02,0.0000e+00
7.00,3.99,4.4668e-01,102,100,4112,7.7517e-04,2.4319e-02,3.5604e-02,8.6585e-06,3.6958e+00,2.1264e+02,2.4483e+01,0.0000e+00,8.9957e+01,9.1448e+02,1.0742e+01,8.8763e+02,2.1264e+02,2.4054e+02,0.0000e+00
8.00,4.99,3.9811e-01,100,100,16745,1.8662e-04,5.9719e-03,1.3381e-01,7.9911e-06,4.0045e+00,2.3049e+02,2.6607e+01,0.0000e+00,9.7539e+01,9.9050e+02,1.1650e+01,9.5617e+02,2.3049e+02,2.4745e+02,0.0000e+00
9.00,5.99,3.5481e-01,100,100,95513,3.2718e-05,1.0470e-03,7.6266e-01,7.9849e-06,4.0076e+00,2.2884e+02,2.6607e+01,0.0000e+00,9.7813e+01,9.8885e+02,1.1642e+01,9.5423e+02,2.2884e+02,2.6779e+02,0.0000e+00
10.00,6.99,3.1623e-01,100,100,959481,3.2570e-06,1.0422e-04,7.6516e+00,7.9747e-06,4.0127e+00,2.2889e+02,2.6609e+01,0.0000e+00,9.7919e+01,9.8777e+02,1.1643e+01,9.5580e+02,2.2889e+02,2.8905e+02,0.0000e+00
11.00,7.99,2.8184e-01,100,100,10101448,3.0936e-07,9.8996e-06,8.0435e+01,7.9627e-06,4.0187e+00,2.2883e+02,2.6612e+01,0.0000e+00,9.7933e+01,9.8933e+02,1.1656e+01,9.5677e+02,2.2883e+02,3.0528e+02,0.0000e+00
12.00,8.99,2.5119e-01,100,100,329188852,9.4930e-09,3.0378e-07,2.6213e+03,7.9630e-06,4.0186e+00,2.2936e+02,2.6604e+01,0.0000e+00,9.7874e+01,9.9223e+02,1.1651e+01,9.5821e+02,2.2936e+02,3.0585e+02,0.0000e+00
