Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,0.00,7.0711e-01,269,100,108,7.7836e-02,9.2593e-01,1.0268e-03,9.5073e-06,3.3658e+06,4.7210e-07,6.7782e+01
1.00,1.00,6.3021e-01,226,100,113,6.2500e-02,8.8496e-01,1.0510e-03,9.3011e-06,3.4404e+06,4.3586e-07,7.3418e+01
2.00,2.00,5.6167e-01,162,100,133,3.8064e-02,7.5188e-01,1.2638e-03,9.5021e-06,3.3677e+06,4.4750e-07,7.1509e+01
3.00,3.00,5.0059e-01,142,100,175,2.5357e-02,5.7143e-01,1.6082e-03,9.1896e-06,3.4822e+06,4.3245e-07,7.3998e+01
4.00,4.00,4.4615e-01,117,100,288,1.2695e-02,3.4722e-01,2.6548e-03,9.2181e-06,3.4714e+06,4.4387e-07,7.2093e+01
5.00,5.00,3.9764e-01,115,100,572,6.2828e-03,1.7483e-01,5.1857e-03,9.0659e-06,3.5297e+06,4.3327e-07,7.3857e+01
6.00,6.00,3.5439e-01,105,100,1486,2.2081e-03,6.7295e-02,1.1625e-02,7.8227e-06,4.0906e+06,3.7940e-07,8.4344e+01
7.00,7.00,3.1585e-01,100,100,4214,7.4158e-04,2.3730e-02,3.1587e-02,7.4958e-06,4.2690e+06,3.6513e-07,8.7641e+01
8.00,8.00,2.8150e-01,100,100,17644,1.7711e-04,5.6676e-03,1.3197e-01,7.4796e-06,4.2783e+06,3.6729e-07,8.7125e+01
9.00,9.00,2.5089e-01,100,100,75694,4.1285e-05,1.3211e-03,5.6488e-01,7.4627e-06,4.2880e+06,3.6633e-07,8.7353e+01
10.00,10.00,2.2361e-01,100,100,857537,3.6442e-06,1.1661e-04,6.3822e+00,7.4425e-06,4.2996e+06,3.6610e-07,8.7408e+01
11.00,11.00,1.9929e-01,100,100,11880488,2.6304e-07,8.4172e-06,8.8311e+01,7.4333e-06,4.3050e+06,3.6606e-07,8.7417e+01
12.00,12.00,1.7762e-01,100,100,382752750,8.1645e-09,2.6127e-07,2.8453e+03,7.4339e-06,4.3046e+06,3.6711e-07,8.7167e+01
