Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-3.01,1.0000e+00,1621,100,100,5.0656e-01,1.0000e+00,1.1638e-03,1.1638e-05,2.7496e+06,5.6738e-07,5.6400e+01
1.00,-2.01,8.9125e-01,1589,100,100,4.9656e-01,1.0000e+00,1.1778e-03,1.1778e-05,2.7170e+06,5.6576e-07,5.6561e+01
2.00,-1.01,7.9433e-01,1616,100,100,5.0500e-01,1.0000e+00,1.1600e-03,1.1600e-05,2.7587e+06,5.5456e-07,5.7703e+01
3.00,-0.01,7.0795e-01,1599,100,100,4.9969e-01,1.0000e+00,1.1586e-03,1.1586e-05,2.7621e+06,5.5520e-07,5.7637e+01
4.00,0.99,6.3096e-01,1536,100,100,4.8000e-01,1.0000e+00,1.1823e-03,1.1823e-05,2.7067e+06,5.5810e-07,5.7337e+01
5.00,1.99,5.6234e-01,1578,100,100,4.9312e-01,1.0000e+00,1.0890e-03,1.0890e-05,2.9384e+06,5.2611e-07,6.0824e+01
6.00,2.99,5.0119e-01,1615,100,100,5.0469e-01,1.0000e+00,1.0896e-03,1.0896e-05,2.9369e+06,5.2419e-07,6.1047e+01
7.00,3.99,4.4668e-01,1607,100,100,5.0219e-01,1.0000e+00,1.0911e-03,1.0911e-05,2.9328e+06,5.2545e-07,6.0900e+01
8.00,4.99,3.9811e-01,1589,100,100,4.9656e-01,1.0000e+00,1.0501e-03,1.0501e-05,3.0472e+06,5.0242e-07,6.3692e+01
9.00,5.99,3.5481e-01,1620,100,100,5.0625e-01,1.0000e+00,1.0261e-03,1.0261e-05,3.1185e+06,4.9217e-07,6.5018e+01
10.00,6.99,3.1623e-01,1629,100,100,5.0906e-01,1.0000e+00,1.0252e-03,1.0252e-05,3.1214e+06,4.9698e-07,6.4389e+01
11.00,7.99,2.8184e-01,1589,100,100,4.9656e-01,1.0000e+00,1.0326e-03,1.0326e-05,3.0990e+06,5.0017e-07,6.3978e+01
12.00,8.99,2.5119e-01,1641,100,100,5.1281e-01,1.0000e+00,1.0252e-03,1.0252e-05,3.1213e+06,4.9760e-07,6.4309e+01
