Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-6.02,1.4142e+00,267,100,105,7.9464e-02,9.5238e-01,4.7355e-04,4.5100e-06,7.0954e+00,3.9623e+02,3.7824e+01,3.7367e+02,4.1016e+02,1.6867e+03,4.7010e+01,1.4533e+03,3.9623e+02,4.4492e+02,4.0268e+02
1.00,-5.02,1.2604e+00,209,100,111,5.8840e-02,9.0090e-01,4.8910e-04,4.4063e-06,7.2624e+00,4.4939e+02,4.6875e+01,4.0217e+02,4.1418e+02,1.7760e+03,4.7634e+01,1.5799e+03,4.4939e+02,4.4758e+02,4.0619e+02
2.00,-4.02,1.1233e+00,158,100,127,3.8878e-02,7.8740e-01,9.5528e-04,7.5219e-06,4.2542e+00,4.2905e+02,4.4593e+01,3.7798e+02,4.0317e+02,1.6933e+03,4.6215e+01,1.4553e+03,4.2905e+02,4.3638e+02,3.8704e+01
3.00,-3.02,1.0012e+00,140,100,199,2.1985e-02,5.0251e-01,9.5931e-04,4.8207e-06,6.6381e+00,4.1719e+02,4.2592e+01,3.7547e+02,4.0281e+02,1.6653e+03,4.2696e+01,1.4342e+03,4.1719e+02,4.1201e+02,3.8286e+02
4.00,-2.02,8.9231e-01,125,100,318,1.2284e-02,3.1447e-01,1.4955e-03,4.7029e-06,6.8043e+00,4.1896e+02,4.3584e+01,3.7946e+02,3.9800e+02,1.6434e+03,4.4434e+01,1.4308e+03,4.1896e+02,4.1406e+02,3.7935e+02
5.00,-1.02,7.9527e-01,109,100,561,6.0717e-03,1.7825e-01,2.8438e-03,5.0692e-06,6.3126e+00,4.3691e+02,4.6195e+01,3.9646e+02,4.2180e+02,1.7531e+03,4.6170e+01,1.4812e+03,4.3691e+02,4.5499e+02,4.0107e+02
6.00,-0.02,7.0879e-01,106,100,1412,2.3460e-03,7.0822e-02,6.3455e-03,4.4940e-06,7.1206e+00,4.6416e+02,4.8729e+01,1.4734e+02,4.3538e+02,1.8230e+03,4.9263e+01,1.6323e+03,4.6416e+02,4.9560e+02,4.2719e+02
7.00,0.98,6.3171e-01,100,100,4585,6.8157e-04,2.1810e-02,1.7896e-02,3.9032e-06,8.1985e+00,5.0600e+02,5.2584e+01,4.4652e+02,4.4972e+02,1.9971e+03,5.3543e+01,1.7211e+03,5.0600e+02,5.2676e+02,4.6096e+02
8.00,1.98,5.6301e-01,100,100,14376,2.1738e-04,6.9560e-03,5.6002e-02,3.8955e-06,8.2146e+00,5.0292e+02,5.2457e+01,4.5688e+02,4.8047e+02,1.9965e+03,5.3510e+01,1.7469e+03,5.0292e+02,5.2835e+02,4.6006e+02
9.00,2.98,5.0178e-01,100,100,87651,3.5653e-05,1.1409e-03,3.4132e-01,3.8940e-06,8.2177e+00,5.0280e+02,5.2592e+01,4.5703e+02,4.8092e+02,2.0002e+03,5.3560e+01,1.7460e+03,5.0280e+02,5.2805e+02,4.6058e+02
10.00,3.98,4.4721e-01,100,100,689702,4.5309e-06,1.4499e-04,2.6903e+00,3.9007e-06,8.2037e+00,5.0231e+02,5.2439e+01,4.5610e+02,4.8091e+02,1.9962e+03,5.3470e+01,1.7455e+03,5.0231e+02,5.2793e+02,4.5909e+02
11.00,4.98,3.9858e-01,100,100,13166652,2.3734e-07,7.5949e-06,5.1373e+01,3.9018e-06,8.2014e+00,5.0236e+02,5.2347e+01,4.5523e+02,4.7970e+02,1.9921e+03,5.3462e+01,1.7462e+03,5.0236e+02,5.2766e+02,4.5939e+02
12.00,5.98,3.5523e-01,100,100,372539810,8.3884e-09,2.6843e-07,1.4527e+03,3.8995e-06,8.2062e+00,5.0245e+02,5.2307e+01,4.5615e+02,4.8001e+02,1.9942e+03,5.3488e+01,1.7471e+03,5.0245e+02,5.2787e+02,4.6005e+02
