Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-6.02,1.4142e+00,3670,100,100,1.4336e-01,1.0000e+00,3.0729e-03,3.0729e-05,8.3308e+00,1.2403e+03,2.7100e+02,7.9125e+02,1.8015e+03,6.7797e+03,3.9077e+01,3.5674e+03,1.2403e+03,2.4465e+03,4.5350e+02
1.00,-5.02,1.2604e+00,3160,100,100,1.2344e-01,1.0000e+00,2.5488e-03,2.5488e-05,1.0044e+01,1.3768e+03,1.1135e+02,8.6957e+02,1.9606e+03,7.4576e+03,4.8685e+01,3.6737e+03,1.3768e+03,2.6059e+03,4.6864e+02
2.00,-4.02,1.1233e+00,2319,100,100,9.0586e-02,1.0000e+00,2.5281e-03,2.5281e-05,1.0126e+01,1.3768e+03,3.3898e+02,8.6768e+02,1.9465e+03,7.5472e+03,4.8702e+01,3.7120e+03,1.3768e+03,2.6059e+03,4.6946e+02
3.00,-3.02,1.0012e+00,1722,100,100,6.7266e-02,1.0000e+00,2.7264e-03,2.7264e-05,9.3896e+00,1.4235e+03,3.1250e+02,9.0693e+02,2.0460e+03,7.8240e+03,4.4143e+01,3.8785e+03,1.4235e+03,2.6490e+03,4.9603e+02
4.00,-2.02,8.9231e-01,1193,100,100,4.6602e-02,1.0000e+00,2.3890e-03,2.3890e-05,1.0716e+01,1.4598e+03,3.3109e+02,9.2269e+02,2.1108e+03,8.0605e+03,5.1462e+01,3.9456e+03,1.4598e+03,2.6403e+03,5.0187e+02
5.00,-1.02,7.9527e-01,775,100,100,3.0273e-02,1.0000e+00,2.3730e-03,2.3730e-05,1.0788e+01,1.4704e+03,3.6765e+02,9.2912e+02,2.0997e+03,8.0598e+03,5.1815e+01,4.0299e+03,1.4704e+03,2.7682e+03,5.0496e+02
6.00,-0.02,7.0879e-01,426,100,101,1.6476e-02,9.9010e-01,2.5622e-03,2.5369e-05,1.0091e+01,1.4743e+03,3.3551e+02,9.5283e+02,2.1432e+03,8.2024e+03,4.7719e+01,4.0651e+03,1.4743e+03,2.7297e+03,5.1033e+02
7.00,0.98,6.3171e-01,264,100,104,9.9159e-03,9.6154e-01,2.3258e-03,2.2364e-05,1.1447e+01,1.5435e+03,3.5978e+02,9.7879e+02,2.2187e+03,8.4898e+03,5.5062e+01,4.2776e+03,1.5435e+03,2.9714e+03,5.3178e+02
8.00,1.98,5.6301e-01,167,100,145,4.4989e-03,6.8966e-01,3.2548e-03,2.2447e-05,1.1405e+01,1.5262e+03,3.6613e+02,9.8800e+02,2.1803e+03,8.6245e+03,5.4792e+01,4.2028e+03,1.5262e+03,2.7685e+03,5.3264e+02
9.00,2.98,5.0178e-01,115,100,333,1.3490e-03,3.0030e-01,7.4631e-03,2.2412e-05,1.1423e+01,1.5362e+03,3.6313e+02,9.8806e+02,2.2199e+03,8.5180e+03,5.4976e+01,4.2469e+03,1.5362e+03,2.7322e+03,5.3171e+02
10.00,3.98,4.4721e-01,103,100,859,4.6839e-04,1.1641e-01,1.9261e-02,2.2422e-05,1.1417e+01,1.5439e+03,3.7121e+02,9.8605e+02,2.2181e+03,8.5307e+03,5.4863e+01,4.2602e+03,1.5439e+03,2.8680e+03,5.3201e+02
11.00,4.98,3.9858e-01,100,100,3484,1.1212e-04,2.8703e-02,7.8111e-02,2.2420e-05,1.1418e+01,1.5379e+03,3.6290e+02,9.8421e+02,2.2093e+03,8.5149e+03,5.4856e+01,4.2359e+03,1.5379e+03,2.8978e+03,5.3282e+02
12.00,5.98,3.5523e-01,100,100,17824,2.1916e-05,5.6104e-03,3.9937e-01,2.2406e-05,1.1425e+01,1.5362e+03,3.6326e+02,9.8372e+02,2.2218e+03,8.4529e+03,5.4890e+01,4.2107e+03,1.5362e+03,2.9241e+03,5.3178e+02
13.00,6.98,3.1660e-01,100,100,188592,2.0713e-06,5.3025e-04,4.2248e+00,2.2402e-05,1.1428e+01,1.5386e+03,3.6330e+02,9.8259e+02,2.2150e+03,8.4741e+03,5.4897e+01,4.2209e+03,1.5386e+03,2.9196e+03,5.3212e+02
14.00,7.98,2.8217e-01,100,100,3368832,1.1595e-07,2.9684e-05,7.5511e+01,2.2415e-05,1.1421e+01,1.5382e+03,3.6276e+02,9.8188e+02,2.2179e+03,8.4665e+03,5.4871e+01,4.2214e+03,1.5382e+03,2.9176e+03,5.3159e+02
15.00,8.98,2.5149e-01,100,100,110151128,3.5463e-09,9.0784e-07,2.4687e+03,2.2412e-05,1.1422e+01,1.5384e+03,3.6304e+02,9.8220e+02,2.2182e+03,8.4748e+03,5.4875e+01,4.2237e+03,1.5384e+03,2.9196e+03,5.3182e+02
