Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-6.02,1.4142e+00,299,100,109,8.5722e-02,9.1743e-01,1.8261e-03,1.6754e-05,1.9100e+00,1.2919e+02,2.3552e+01,0.0000e+00,4.3921e+01,1.2512e+03,9.6072e+00,1.3863e+03,1.2919e+02,1.6290e+02,0.0000e+00
1.00,-5.02,1.2604e+00,216,100,114,5.9211e-02,8.7719e-01,1.9203e-03,1.6845e-05,1.8997e+00,1.3871e+02,2.3819e+01,0.0000e+00,4.3500e+01,1.3479e+03,9.4901e+00,1.3757e+03,1.3871e+02,1.9037e+02,0.0000e+00
2.00,-4.02,1.1233e+00,171,100,150,3.5625e-02,6.6667e-01,2.4871e-03,1.6581e-05,1.9300e+00,1.3774e+02,2.3814e+01,0.0000e+00,4.3684e+01,1.3932e+03,9.6647e+00,1.4425e+03,1.3774e+02,2.0096e+02,0.0000e+00
3.00,-3.02,1.0012e+00,141,100,188,2.3438e-02,5.3191e-01,3.1391e-03,1.6697e-05,1.9165e+00,1.3724e+02,2.3851e+01,0.0000e+00,4.3603e+01,1.3704e+03,9.5801e+00,1.3552e+03,1.3724e+02,2.0171e+02,0.0000e+00
4.00,-2.02,8.9231e-01,117,100,332,1.1013e-02,3.0120e-01,5.3645e-03,1.6158e-05,1.9804e+00,1.3962e+02,2.4558e+01,0.0000e+00,4.4933e+01,1.4058e+03,9.9186e+00,1.4228e+03,1.3962e+02,2.1671e+02,0.0000e+00
5.00,-1.02,7.9527e-01,105,100,603,5.4415e-03,1.6584e-01,8.6165e-03,1.4289e-05,2.2394e+00,1.6014e+02,2.7824e+01,0.0000e+00,5.0970e+01,1.6310e+03,1.1183e+01,1.6227e+03,1.6014e+02,2.5166e+02,0.0000e+00
6.00,-0.02,7.0879e-01,103,100,1254,2.5668e-03,7.9745e-02,1.7313e-02,1.3806e-05,2.3179e+00,1.6216e+02,2.8596e+01,0.0000e+00,5.2733e+01,1.6700e+03,1.1590e+01,1.7054e+03,1.6216e+02,2.5687e+02,0.0000e+00
7.00,0.98,6.3171e-01,101,100,4711,6.6997e-04,2.1227e-02,6.4961e-02,1.3789e-05,2.3206e+00,1.6314e+02,2.8697e+01,0.0000e+00,5.2661e+01,1.6632e+03,1.1605e+01,1.6871e+03,1.6314e+02,2.5074e+02,0.0000e+00
8.00,1.98,5.6301e-01,101,100,13490,2.3397e-04,7.4129e-03,1.8603e-01,1.3790e-05,2.3205e+00,1.6249e+02,2.8709e+01,0.0000e+00,5.2603e+01,1.6806e+03,1.1607e+01,1.6888e+03,1.6249e+02,2.4702e+02,0.0000e+00
9.00,2.98,5.0178e-01,100,100,91491,3.4156e-05,1.0930e-03,1.2639e+00,1.3815e-05,2.3163e+00,1.6233e+02,2.8695e+01,0.0000e+00,5.2554e+01,1.6714e+03,1.1585e+01,1.6910e+03,1.6233e+02,2.4570e+02,0.0000e+00
10.00,3.98,4.4721e-01,100,100,985571,3.1708e-06,1.0146e-04,1.3653e+01,1.3853e-05,2.3099e+00,1.6184e+02,2.8585e+01,0.0000e+00,5.2403e+01,1.6666e+03,1.1554e+01,1.6821e+03,1.6184e+02,2.4622e+02,0.0000e+00
11.00,4.98,3.9858e-01,100,100,11867129,2.6333e-07,8.4266e-06,1.6506e+02,1.3909e-05,2.3006e+00,1.6144e+02,2.8466e+01,0.0000e+00,5.2187e+01,1.6604e+03,1.1504e+01,1.6762e+03,1.6144e+02,2.4782e+02,0.0000e+00
12.00,5.98,3.5523e-01,100,100,350198257,8.9235e-09,2.8555e-07,4.8654e+03,1.3893e-05,2.3033e+00,1.6152e+02,2.8501e+01,0.0000e+00,5.2245e+01,1.6619e+03,1.1517e+01,1.6774e+03,1.6152e+02,2.4902e+02,0.0000e+00
