Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,0.00,7.0711e-01,1584,100,100,4.9500e-01,1.0000e+00,7.5000e-04,7.5000e-06,4.2666e+06,4.0865e-07,7.8307e+01
1.00,1.00,6.3021e-01,1608,100,100,5.0250e-01,1.0000e+00,7.8904e-04,7.8904e-06,4.0555e+06,4.2722e-07,7.4903e+01
2.00,2.00,5.6167e-01,1597,100,100,4.9906e-01,1.0000e+00,8.1436e-04,8.1436e-06,3.9295e+06,4.3648e-07,7.3314e+01
3.00,3.00,5.0059e-01,1602,100,100,5.0063e-01,1.0000e+00,7.8946e-04,7.8946e-06,4.0534e+06,4.3233e-07,7.4018e+01
4.00,4.00,4.4615e-01,1608,100,100,5.0250e-01,1.0000e+00,7.5099e-04,7.5099e-06,4.2610e+06,4.0833e-07,7.8368e+01
5.00,5.00,3.9764e-01,1596,100,100,4.9875e-01,1.0000e+00,7.4117e-04,7.4117e-06,4.3175e+06,4.0321e-07,7.9363e+01
6.00,6.00,3.5439e-01,1616,100,100,5.0500e-01,1.0000e+00,7.4111e-04,7.4111e-06,4.3179e+06,4.0770e-07,7.8489e+01
7.00,7.00,3.1585e-01,1642,100,100,5.1313e-01,1.0000e+00,7.4171e-04,7.4171e-06,4.3143e+06,3.9297e-07,8.1431e+01
8.00,8.00,2.8150e-01,1604,100,100,5.0125e-01,1.0000e+00,6.9615e-04,6.9615e-06,4.5967e+06,3.7859e-07,8.4524e+01
9.00,9.00,2.5089e-01,1555,100,100,4.8594e-01,1.0000e+00,6.9515e-04,6.9515e-06,4.6033e+06,3.7921e-07,8.4386e+01
10.00,10.00,2.2361e-01,1592,100,100,4.9750e-01,1.0000e+00,6.9534e-04,6.9535e-06,4.6020e+06,3.8016e-07,8.4175e+01
11.00,11.00,1.9929e-01,1557,100,100,4.8656e-01,1.0000e+00,6.9755e-04,6.9755e-06,4.5875e+06,3.8242e-07,8.3678e+01
12.00,12.00,1.7762e-01,1599,100,100,4.9969e-01,1.0000e+00,7.0655e-04,7.0655e-06,4.5291e+06,3.8048e-07,8.4104e+01
