Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-6.02,1.4142e+00,490,100,101,1.5161e-01,9.9010e-01,1.8302e-03,1.8121e-05,1.7659e+00,2.4115e+01,2.2013e+01,0.0000e+00,4.3533e+01,1.2355e+03,9.5243e+00,1.3032e+03,2.4115e+01,1.3722e+02,0.0000e+00
1.00,-5.02,1.2604e+00,391,100,100,1.2219e-01,1.0000e+00,1.7721e-03,1.7721e-05,1.8057e+00,2.5699e+01,2.2240e+01,0.0000e+00,4.3289e+01,1.2860e+03,9.7079e+00,1.3746e+03,2.5699e+01,1.3386e+02,0.0000e+00
2.00,-4.02,1.1233e+00,308,100,107,8.9953e-02,9.3458e-01,1.8850e-03,1.7617e-05,1.8164e+00,2.7533e+01,2.2587e+01,0.0000e+00,4.3977e+01,1.3940e+03,9.6648e+00,1.3714e+03,2.7533e+01,1.6089e+02,0.0000e+00
3.00,-3.02,1.0012e+00,237,100,114,6.4967e-02,8.7719e-01,1.8695e-03,1.6399e-05,1.9513e+00,3.1152e+01,2.3659e+01,0.0000e+00,4.6398e+01,1.4710e+03,1.0369e+01,1.4902e+03,3.1152e+01,1.9545e+02,0.0000e+00
4.00,-2.02,8.9231e-01,179,100,130,4.3029e-02,7.6923e-01,2.1299e-03,1.6384e-05,1.9531e+00,3.3410e+01,2.3980e+01,0.0000e+00,4.6880e+01,1.4986e+03,1.0286e+01,1.5385e+03,3.3410e+01,2.1001e+02,0.0000e+00
5.00,-1.02,7.9527e-01,153,100,159,3.0071e-02,6.2893e-01,2.4273e-03,1.5266e-05,2.0962e+00,3.7972e+01,2.5269e+01,0.0000e+00,4.9162e+01,1.5702e+03,1.1035e+01,1.5743e+03,3.7972e+01,2.3451e+02,0.0000e+00
6.00,-0.02,7.0879e-01,129,100,213,1.8926e-02,4.6948e-01,3.1044e-03,1.4575e-05,2.1956e+00,4.2871e+01,2.6343e+01,0.0000e+00,5.1113e+01,1.5604e+03,1.1507e+01,1.6576e+03,4.2871e+01,2.4041e+02,0.0000e+00
7.00,0.98,6.3171e-01,115,100,485,7.4098e-03,2.0619e-01,6.9279e-03,1.4284e-05,2.2402e+00,4.8060e+01,2.6009e+01,0.0000e+00,5.2401e+01,1.6594e+03,1.1714e+01,1.6565e+03,4.8060e+01,2.4260e+02,0.0000e+00
8.00,1.98,5.6301e-01,107,100,744,4.4943e-03,1.3441e-01,1.0594e-02,1.4240e-05,2.2473e+00,5.1502e+01,2.6793e+01,0.0000e+00,5.2222e+01,1.6396e+03,1.1674e+01,1.6709e+03,5.1502e+01,2.4553e+02,0.0000e+00
9.00,2.98,5.0178e-01,105,100,2275,1.4423e-03,4.3956e-02,3.2278e-02,1.4188e-05,2.2554e+00,5.4058e+01,2.6793e+01,0.0000e+00,5.2334e+01,1.6566e+03,1.1699e+01,1.6675e+03,5.4058e+01,2.4319e+02,0.0000e+00
10.00,3.98,4.4721e-01,101,100,5441,5.8009e-04,1.8379e-02,7.6978e-02,1.4148e-05,2.2618e+00,5.6953e+01,2.6755e+01,0.0000e+00,5.2125e+01,1.6437e+03,1.1713e+01,1.6713e+03,5.6953e+01,2.4221e+02,0.0000e+00
11.00,4.98,3.9858e-01,100,100,22585,1.3837e-04,4.4277e-03,3.1883e-01,1.4117e-05,2.2668e+00,5.8778e+01,2.6775e+01,0.0000e+00,5.2234e+01,1.6553e+03,1.1719e+01,1.6737e+03,5.8778e+01,2.5553e+02,0.0000e+00
12.00,5.98,3.5523e-01,100,100,202687,1.5418e-05,4.9337e-04,2.8522e+00,1.4072e-05,2.2740e+00,5.9933e+01,2.6793e+01,0.0000e+00,5.2263e+01,1.6568e+03,1.1745e+01,1.6705e+03,5.9933e+01,2.7250e+02,0.0000e+00
13.00,6.98,3.1660e-01,100,100,1636532,1.9095e-06,6.1105e-05,2.3007e+01,1.4058e-05,2.2763e+00,6.0533e+01,2.6795e+01,0.0000e+00,5.2262e+01,1.6619e+03,1.1741e+01,1.6721e+03,6.0533e+01,3.0478e+02,0.0000e+00
14.00,7.98,2.8217e-01,100,100,19820044,1.5767e-07,5.0454e-06,2.7860e+02,1.4056e-05,2.2765e+00,6.0794e+01,2.6795e+01,0.0000e+00,5.2262e+01,1.6616e+03,1.1740e+01,1.6710e+03,6.0794e+01,3.0485e+02,0.0000e+00
15.00,8.98,2.5149e-01,100,100,1045343177,2.9894e-09,9.5662e-08,1.4697e+04,1.4060e-05,2.2760e+00,6.0882e+01,2.6789e+01,0.0000e+00,5.2233e+01,1.6625e+03,1.1736e+01,1.6710e+03,6.0882e+01,3.0406e+02,0.0000e+00
