Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-6.02,1.4142e+00,325,100,108,9.4039e-02,9.2593e-01,2.8999e-03,2.6851e-05,1.1918e+06,8.9248e-07,3.5855e+01
1.00,-5.02,1.2604e+00,225,100,109,6.4507e-02,9.1743e-01,2.6939e-03,2.4715e-05,1.2948e+06,8.0761e-07,3.9623e+01
2.00,-4.02,1.1233e+00,172,100,139,3.8669e-02,7.1942e-01,3.3147e-03,2.3847e-05,1.3419e+06,7.7101e-07,4.1504e+01
3.00,-3.02,1.0012e+00,141,100,190,2.3191e-02,5.2632e-01,4.3988e-03,2.3152e-05,1.3822e+06,7.6139e-07,4.2028e+01
4.00,-2.02,8.9231e-01,117,100,330,1.1080e-02,3.0303e-01,7.2752e-03,2.2046e-05,1.4515e+06,7.1747e-07,4.4601e+01
5.00,-1.02,7.9527e-01,106,100,568,5.8319e-03,1.7606e-01,1.2232e-02,2.1535e-05,1.4859e+06,7.2464e-07,4.4160e+01
6.00,-0.02,7.0879e-01,105,100,1181,2.7784e-03,8.4674e-02,2.5320e-02,2.1439e-05,1.4926e+06,7.1126e-07,4.4990e+01
7.00,0.98,6.3171e-01,101,100,4025,7.8416e-04,2.4845e-02,8.5827e-02,2.1323e-05,1.5007e+06,7.1085e-07,4.5017e+01
8.00,1.98,5.6301e-01,100,100,12215,2.5583e-04,8.1867e-03,2.5926e-01,2.1225e-05,1.5077e+06,7.1005e-07,4.5068e+01
9.00,2.98,5.0178e-01,100,100,82333,3.7956e-05,1.2146e-03,1.7413e+00,2.1150e-05,1.5130e+06,7.1023e-07,4.5056e+01
10.00,3.98,4.4721e-01,100,100,627525,4.9799e-06,1.5936e-04,1.3197e+01,2.1030e-05,1.5216e+06,7.1009e-07,4.5065e+01
11.00,4.98,3.9858e-01,100,100,6304375,4.9569e-07,1.5862e-05,1.3214e+02,2.0960e-05,1.5267e+06,7.0991e-07,4.5076e+01
12.00,5.98,3.5523e-01,100,100,124477015,2.5105e-08,8.0336e-07,2.6046e+03,2.0925e-05,1.5293e+06,7.1106e-07,4.5003e+01
