Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-4.77,1.2247e+00,1951,100,100,7.6211e-02,1.0000e+00,2.0729e-03,2.0729e-05,1.2350e+01,1.9512e+03,2.9499e+02,8.0887e+02,1.9512e+03,6.2000e+03,4.5519e+01,3.2475e+03,1.9512e+03,2.3599e+03,4.3579e+02
1.00,-3.77,1.0916e+00,1471,100,100,5.7461e-02,1.0000e+00,2.0585e-03,2.0585e-05,1.2436e+01,2.0830e+03,2.9326e+02,8.3157e+02,2.1330e+03,6.1856e+03,4.5650e+01,3.3195e+03,2.0830e+03,2.4615e+03,4.4369e+02
2.00,-2.77,9.7285e-01,935,100,100,3.6523e-02,1.0000e+00,1.9312e-03,1.9312e-05,1.3256e+01,2.2039e+03,3.4130e+02,8.7813e+02,2.1918e+03,6.7398e+03,4.8726e+01,3.4832e+03,2.2039e+03,2.5157e+03,4.6726e+02
3.00,-1.77,8.6705e-01,589,100,100,2.3008e-02,1.0000e+00,1.9232e-03,1.9232e-05,1.3311e+01,2.2161e+03,3.0960e+02,8.7816e+02,2.2725e+03,6.8565e+03,4.8879e+01,3.5768e+03,2.2161e+03,2.6490e+03,4.7533e+02
4.00,-0.77,7.7276e-01,331,100,103,1.2553e-02,9.7087e-01,1.8718e-03,1.8173e-05,1.4087e+01,2.3409e+03,3.2698e+02,9.3843e+02,2.3409e+03,7.1652e+03,5.1779e+01,3.7739e+03,2.3409e+03,2.7932e+03,5.0079e+02
5.00,0.23,6.8872e-01,203,100,134,5.9177e-03,7.4627e-01,2.4788e-03,1.8499e-05,1.3839e+01,2.3506e+03,3.4184e+02,9.3783e+02,2.3875e+03,6.9013e+03,5.0625e+01,3.7480e+03,2.3506e+03,2.6404e+03,5.0186e+02
6.00,1.23,6.1383e-01,125,100,196,2.4912e-03,5.1020e-01,3.5432e-03,1.8078e-05,1.4161e+01,2.3756e+03,3.5503e+02,9.4627e+02,2.3614e+03,7.0950e+03,5.1987e+01,3.7449e+03,2.3756e+03,2.4928e+03,5.0508e+02
7.00,2.23,5.4707e-01,111,100,498,8.7067e-04,2.0080e-01,8.5433e-03,1.7155e-05,1.4923e+01,2.4837e+03,3.8102e+02,9.9049e+02,2.4961e+03,7.5310e+03,5.4796e+01,3.9483e+03,2.4837e+03,2.8703e+03,5.2818e+02
8.00,3.23,4.8758e-01,101,100,2214,1.7820e-04,4.5167e-02,3.7934e-02,1.7134e-05,1.4941e+01,2.4761e+03,3.7177e+02,9.8583e+02,2.5158e+03,7.4678e+03,5.4901e+01,3.9472e+03,2.4761e+03,2.9318e+03,5.2738e+02
9.00,4.23,4.3456e-01,101,100,9594,4.1123e-05,1.0423e-02,1.6433e-01,1.7128e-05,1.4946e+01,2.4836e+03,3.6835e+02,9.9237e+02,2.5228e+03,7.4661e+03,5.4908e+01,3.9540e+03,2.4836e+03,2.9530e+03,5.2699e+02
10.00,5.23,3.8730e-01,100,100,84982,4.5966e-06,1.1767e-03,1.4558e+00,1.7131e-05,1.4944e+01,2.4766e+03,3.6774e+02,9.8976e+02,2.5140e+03,7.4666e+03,5.4910e+01,3.9514e+03,2.4766e+03,2.9521e+03,5.2675e+02
11.00,6.23,3.4518e-01,100,100,1251751,3.1206e-07,7.9888e-05,2.1458e+01,1.7142e-05,1.4934e+01,2.4823e+03,3.6897e+02,9.9256e+02,2.5205e+03,7.4743e+03,5.4853e+01,3.9479e+03,2.4823e+03,2.9576e+03,5.2735e+02
12.00,7.23,3.0764e-01,100,100,47115077,8.2909e-09,2.1225e-06,8.0783e+02,1.7146e-05,1.4931e+01,2.4821e+03,3.6882e+02,9.9259e+02,2.5196e+03,7.4745e+03,5.4840e+01,3.9493e+03,2.4821e+03,2.9580e+03,5.2730e+02
