Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-6.02,1.4142e+00,2016,100,100,7.8750e-02,1.0000e+00,2.6822e-03,2.6822e-05,9.5444e+00,1.6427e+03,2.6383e+02,7.5256e+02,1.7352e+03,6.8376e+03,4.5788e+01,3.5593e+03,1.6427e+03,2.3739e+03,4.6282e+02
1.00,-5.02,1.2604e+00,1491,100,100,5.8242e-02,1.0000e+00,2.5173e-03,2.5173e-05,1.0170e+01,1.9465e+03,3.0675e+02,8.6297e+02,1.9656e+03,7.6190e+03,4.8683e+01,3.7340e+03,1.9465e+03,2.4465e+03,4.8594e+02
2.00,-4.02,1.1233e+00,915,100,100,3.5742e-02,1.0000e+00,2.4087e-03,2.4087e-05,1.0628e+01,2.1106e+03,3.8911e+02,9.1429e+02,2.0355e+03,7.9398e+03,5.0757e+01,3.9602e+03,2.1106e+03,2.6933e+03,5.1273e+02
3.00,-3.02,1.0012e+00,599,100,100,2.3398e-02,1.0000e+00,2.3820e-03,2.3820e-05,1.0747e+01,2.0941e+03,3.2258e+02,9.3673e+02,2.0996e+03,8.0000e+03,5.1392e+01,3.9555e+03,2.0941e+03,2.7397e+03,5.1561e+02
4.00,-2.02,8.9231e-01,314,100,102,1.2025e-02,9.8039e-01,2.4159e-03,2.3686e-05,1.0808e+01,2.0503e+03,3.3549e+02,9.2304e+02,2.1140e+03,7.9804e+03,5.1731e+01,3.9899e+03,2.0503e+03,2.7200e+03,5.1685e+02
5.00,-1.02,7.9527e-01,185,100,118,6.1242e-03,8.4746e-01,2.6860e-03,2.2763e-05,1.1246e+01,2.1751e+03,3.9199e+02,9.6616e+02,2.1701e+03,8.3725e+03,5.3764e+01,4.1539e+03,2.1751e+03,2.7362e+03,5.3880e+02
6.00,-0.02,7.0879e-01,133,100,192,2.7059e-03,5.2083e-01,4.3014e-03,2.2403e-05,1.1427e+01,2.1510e+03,3.6156e+02,9.7150e+02,2.2325e+03,8.3592e+03,5.4673e+01,4.2372e+03,2.1510e+03,2.6483e+03,5.4856e+02
7.00,0.98,6.3171e-01,112,100,590,7.4153e-04,1.6949e-01,1.3205e-02,2.2381e-05,1.1438e+01,2.1771e+03,3.6645e+02,9.7577e+02,2.1973e+03,8.5082e+03,5.4723e+01,4.2416e+03,2.1771e+03,2.8110e+03,5.4543e+02
8.00,1.98,5.6301e-01,103,100,2049,1.9636e-04,4.8804e-02,4.5675e-02,2.2291e-05,1.1484e+01,2.2103e+03,3.7227e+02,9.8047e+02,2.1961e+03,8.2121e+03,5.4951e+01,4.2298e+03,2.2103e+03,2.8305e+03,5.4939e+02
9.00,2.98,5.0178e-01,100,100,11147,3.5043e-05,8.9710e-03,2.4878e-01,2.2318e-05,1.1471e+01,2.2119e+03,3.7121e+02,9.7983e+02,2.1933e+03,8.4054e+03,5.4851e+01,4.2069e+03,2.2119e+03,2.8848e+03,5.4963e+02
10.00,3.98,4.4721e-01,100,100,101325,3.8552e-06,9.8692e-04,2.2586e+00,2.2291e-05,1.1485e+01,2.2069e+03,3.7117e+02,9.7937e+02,2.2006e+03,8.4402e+03,5.4932e+01,4.2244e+03,2.2069e+03,2.9087e+03,5.4911e+02
11.00,4.98,3.9858e-01,100,100,1642208,2.3787e-07,6.0894e-05,3.6634e+01,2.2308e-05,1.1476e+01,2.2055e+03,3.7129e+02,9.7954e+02,2.1986e+03,8.4566e+03,5.4880e+01,4.2234e+03,2.2055e+03,2.9045e+03,5.4941e+02
12.00,5.98,3.5523e-01,100,100,46578888,8.3863e-09,2.1469e-06,1.0385e+03,2.2296e-05,1.1482e+01,2.2044e+03,3.7078e+02,9.7880e+02,2.1963e+03,8.4481e+03,5.4917e+01,4.2384e+03,2.2044e+03,2.9055e+03,5.4891e+02
