Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,0.00,7.0711e-01,1947,100,100,7.6055e-02,1.0000e+00,1.2532e-03,1.2532e-05,2.0427e+01,1.6770e+03,1.8587e+02,5.1845e+02,1.9608e+03,1.9656e+03,2.9113e+01,1.4517e+03,1.6770e+03,1.5355e+03,2.6845e+02
1.00,1.00,6.3021e-01,1405,100,100,5.4883e-02,1.0000e+00,1.2696e-03,1.2696e-05,2.0165e+01,1.7467e+03,2.1552e+02,5.3941e+02,2.0513e+03,2.0942e+03,2.8301e+01,1.4598e+03,1.7467e+03,1.5966e+03,2.6907e+02
2.00,2.00,5.6167e-01,898,100,100,3.5078e-02,1.0000e+00,9.8605e-04,9.8605e-06,2.5962e+01,2.0997e+03,2.6176e+02,6.7280e+02,2.5974e+03,2.6664e+03,3.7029e+01,1.8018e+03,2.0997e+03,1.9656e+03,3.3912e+02
3.00,3.00,5.0059e-01,576,100,100,2.2500e-02,1.0000e+00,7.6153e-04,7.6153e-06,3.3616e+01,2.8470e+03,3.0864e+02,8.7527e+02,3.2389e+03,3.3333e+03,4.8156e+01,2.3121e+03,2.8470e+03,2.5478e+03,4.3596e+02
4.00,4.00,4.4615e-01,329,100,105,1.2240e-02,9.5238e-01,8.0029e-04,7.6218e-06,3.3588e+01,2.7010e+03,3.3543e+02,8.7860e+02,3.2681e+03,3.3333e+03,4.8004e+01,2.3269e+03,2.7010e+03,2.5923e+03,4.3977e+02
5.00,5.00,3.9764e-01,203,100,122,6.4997e-03,8.1967e-01,9.4365e-04,7.7348e-06,3.3097e+01,2.7263e+03,3.2021e+02,8.7610e+02,3.2969e+03,3.4610e+03,4.7046e+01,2.3518e+03,2.7263e+03,2.4461e+03,4.4162e+02
6.00,6.00,3.5439e-01,126,100,241,2.0423e-03,4.1494e-01,1.8342e-03,7.6107e-06,3.3637e+01,2.7741e+03,3.2969e+02,8.7955e+02,3.3184e+03,3.3414e+03,4.8134e+01,2.3062e+03,2.7741e+03,2.3512e+03,4.4058e+02
7.00,7.00,3.1585e-01,107,100,618,6.7632e-04,1.6181e-01,4.6979e-03,7.6018e-06,3.3676e+01,2.7465e+03,3.2628e+02,8.7626e+02,3.2462e+03,3.2915e+03,4.8307e+01,2.3143e+03,2.7465e+03,2.5457e+03,4.4287e+02
8.00,8.00,2.8150e-01,102,100,1997,1.9952e-04,5.0075e-02,1.3771e-02,6.8957e-06,3.7125e+01,3.0182e+03,3.6454e+02,9.6926e+02,3.3690e+03,3.6624e+03,5.3019e+01,2.5479e+03,3.0182e+03,2.8598e+03,4.8399e+02
9.00,9.00,2.5089e-01,100,100,12090,3.2310e-05,8.2713e-03,8.1275e-02,6.7225e-06,3.8081e+01,3.0900e+03,3.6684e+02,9.8871e+02,3.6750e+03,3.7284e+03,5.4402e+01,2.6157e+03,3.0900e+03,2.9230e+03,4.9810e+02
10.00,10.00,2.2361e-01,100,100,103094,3.7890e-06,9.6999e-04,6.9324e-01,6.7243e-06,3.8071e+01,3.0990e+03,3.6861e+02,9.8799e+02,3.6829e+03,3.7233e+03,5.4375e+01,2.6102e+03,3.0990e+03,2.9348e+03,4.9698e+02
11.00,11.00,1.9929e-01,100,100,1167889,3.3447e-07,8.5625e-05,7.8550e+00,6.7258e-06,3.8062e+01,3.1009e+03,3.6916e+02,9.8817e+02,3.6857e+03,3.7272e+03,5.4359e+01,2.6096e+03,3.1009e+03,2.9385e+03,4.9655e+02
12.00,12.00,1.7762e-01,100,100,48317649,8.0845e-09,2.0696e-06,3.2508e+02,6.7279e-06,3.8050e+01,3.0998e+03,3.6915e+02,9.8823e+02,3.6848e+03,3.7292e+03,5.4336e+01,2.6086e+03,3.0998e+03,2.9377e+03,4.9658e+02
