Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-3.01,1.0000e+00,254,100,113,7.0243e-02,8.8496e-01,3.3999e-04,3.0087e-06,1.0636e+01,4.3624e+02,4.0346e+01,3.8047e+02,4.3125e+02,8.7227e+02,4.5822e+01,8.4309e+02,4.3624e+02,4.5183e+02,3.3928e+02
1.00,-2.01,8.9125e-01,227,100,115,6.1685e-02,8.6957e-01,3.3989e-04,2.9556e-06,1.0827e+01,4.5612e+02,4.5191e+01,3.9931e+02,4.4231e+02,8.8803e+02,4.6090e+01,8.2734e+02,4.5612e+02,4.4563e+02,3.4732e+02
2.00,-1.01,7.9433e-01,182,100,140,4.0625e-02,7.1429e-01,4.1408e-04,2.9577e-06,1.0819e+01,4.6024e+02,4.6791e+01,4.0115e+02,4.4440e+02,9.0304e+02,4.5966e+01,8.4544e+02,4.6024e+02,4.4573e+02,3.4984e+02
3.00,-0.01,7.0795e-01,135,100,200,2.1094e-02,5.0000e-01,6.1714e-04,3.0857e-06,1.0370e+01,4.5767e+02,4.4304e+01,4.0627e+02,4.3944e+02,8.9856e+02,4.6093e+01,8.5464e+02,4.5767e+02,4.2904e+02,3.5119e+02
4.00,0.99,6.3096e-01,128,100,352,1.1364e-02,2.8409e-01,1.0377e-03,2.9479e-06,1.0855e+01,4.4665e+02,4.5729e+01,4.0770e+02,4.3773e+02,9.1048e+02,4.6099e+01,8.5217e+02,4.4665e+02,4.4434e+02,3.5089e+02
5.00,1.99,5.6234e-01,107,100,603,5.5452e-03,1.6584e-01,1.7776e-03,2.9479e-06,1.0855e+01,4.5056e+02,4.5786e+01,4.0301e+02,4.4006e+02,9.0312e+02,4.6068e+01,8.5021e+02,4.5056e+02,4.5540e+02,3.4813e+02
6.00,2.99,5.0119e-01,102,100,1152,2.7669e-03,8.6806e-02,3.4097e-03,2.9598e-06,1.0811e+01,4.5611e+02,4.5631e+01,3.9965e+02,4.4849e+02,9.0829e+02,4.5625e+01,8.4649e+02,4.5611e+02,4.6122e+02,3.4752e+02
7.00,3.99,4.4668e-01,100,100,4274,7.3117e-04,2.3397e-02,1.1575e-02,2.7082e-06,1.1816e+01,4.9291e+02,4.9440e+01,4.4058e+02,4.8758e+02,9.9054e+02,5.0182e+01,9.2763e+02,4.9291e+02,5.0584e+02,3.6120e+02
8.00,4.99,3.9811e-01,101,100,16405,1.9240e-04,6.0957e-03,4.2842e-02,2.6115e-06,1.2253e+01,5.0661e+02,5.1418e+01,4.5590e+02,5.0166e+02,1.0300e+03,5.1914e+01,9.5997e+02,5.0661e+02,5.2220e+02,3.9098e+02
9.00,5.99,3.5481e-01,100,100,82996,3.7652e-05,1.2049e-03,2.1648e-01,2.6083e-06,1.2268e+01,5.1308e+02,5.1370e+01,4.5527e+02,5.0508e+02,1.0305e+03,5.1964e+01,9.6098e+02,5.1308e+02,5.2584e+02,3.9365e+02
10.00,6.99,3.1623e-01,100,100,799252,3.9099e-06,1.2512e-04,2.0842e+00,2.6077e-06,1.2271e+01,5.1166e+02,5.1403e+01,4.5583e+02,5.0569e+02,1.0308e+03,5.1982e+01,9.6233e+02,5.1166e+02,5.2660e+02,3.9347e+02
11.00,7.99,2.8184e-01,100,100,11726233,2.6650e-07,8.5279e-06,3.0588e+01,2.6085e-06,1.2268e+01,5.1158e+02,5.1436e+01,4.5576e+02,5.0613e+02,1.0310e+03,5.1941e+01,9.6148e+02,5.1158e+02,5.2624e+02,3.9344e+02
12.00,8.99,2.5119e-01,100,100,344239344,9.0780e-09,2.9050e-07,8.9714e+02,2.6062e-06,1.2279e+01,5.1199e+02,5.1438e+01,4.5582e+02,5.0606e+02,1.0314e+03,5.1963e+01,9.6221e+02,5.1199e+02,5.2643e+02,3.9370e+02
