Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-6.02,1.4142e+00,437,100,100,1.3656e-01,1.0000e+00,4.9863e-04,4.9863e-06,6.4176e+00,3.5591e+02,3.7998e+01,3.5211e+02,4.0166e+02,1.6327e+03,4.0644e+01,1.4184e+03,3.5591e+02,4.3103e+02,3.8837e+02
1.00,-5.02,1.2604e+00,401,100,103,1.2166e-01,9.7087e-01,4.8522e-04,4.7109e-06,6.7927e+00,3.9927e+02,4.2774e+01,3.7455e+02,3.8868e+02,1.6289e+03,4.4408e+01,1.4355e+03,3.9927e+02,4.4206e+02,3.8291e+02
2.00,-4.02,1.1233e+00,321,100,103,9.7391e-02,9.7087e-01,4.8382e-04,4.6973e-06,6.8125e+00,4.2562e+02,4.2496e+01,3.7733e+02,4.0078e+02,1.6285e+03,4.4615e+01,1.4458e+03,4.2562e+02,4.2213e+02,3.8400e+02
3.00,-3.02,1.0012e+00,244,100,111,6.8694e-02,9.0090e-01,5.2148e-04,4.6980e-06,6.8114e+00,4.0077e+02,4.4052e+01,3.7627e+02,3.9089e+02,1.6949e+03,4.4496e+01,1.4006e+03,4.0077e+02,4.1111e+02,3.8177e+02
4.00,-2.02,8.9231e-01,188,100,129,4.5543e-02,7.7519e-01,6.0618e-04,4.6991e-06,6.8099e+00,4.0952e+02,4.2215e+01,3.8739e+02,4.1613e+02,1.6278e+03,4.4443e+01,1.3984e+03,4.0952e+02,4.1083e+02,3.7970e+02
5.00,-1.02,7.9527e-01,158,100,162,3.0478e-02,6.1728e-01,7.5990e-04,4.6907e-06,6.8220e+00,3.8756e+02,4.4025e+01,3.8574e+02,4.0003e+02,1.7188e+03,4.4502e+01,1.4497e+03,3.8756e+02,4.1756e+02,3.8278e+02
6.00,-0.02,7.0879e-01,133,100,211,1.9698e-02,4.7393e-01,9.7618e-04,4.6264e-06,6.9168e+00,4.1373e+02,4.4032e+01,1.8365e+02,4.1292e+02,1.7438e+03,4.6075e+01,1.4329e+03,4.1373e+02,4.3155e+02,3.9664e+02
7.00,0.98,6.3171e-01,118,100,366,1.0075e-02,2.7322e-01,1.6082e-03,4.3939e-06,7.2828e+00,4.4694e+02,4.5663e+01,4.0133e+02,4.2558e+02,1.7449e+03,4.7516e+01,1.5125e+03,4.4694e+02,4.4526e+02,4.1033e+02
8.00,1.98,5.6301e-01,105,100,931,3.5244e-03,1.0741e-01,3.9719e-03,4.2663e-06,7.5007e+00,4.4589e+02,4.8012e+01,4.1545e+02,4.4042e+02,1.8265e+03,4.8652e+01,1.5621e+03,4.4589e+02,4.7916e+02,4.2291e+02
9.00,2.98,5.0178e-01,105,100,1960,1.6741e-03,5.1020e-02,7.7710e-03,3.9648e-06,8.0710e+00,4.8018e+02,5.1680e+01,4.5017e+02,3.5938e+02,1.9763e+03,5.2829e+01,1.6919e+03,4.8018e+02,5.1432e+02,4.5571e+02
10.00,3.98,4.4721e-01,101,100,6676,4.7278e-04,1.4979e-02,2.5975e-02,3.8908e-06,8.2244e+00,4.9472e+02,5.2686e+01,4.5059e+02,4.7807e+02,1.9826e+03,5.3565e+01,1.7108e+03,4.9472e+02,5.2544e+02,4.6114e+02
11.00,4.98,3.9858e-01,100,100,29099,1.0739e-04,3.4365e-03,1.1325e-01,3.8917e-06,8.2226e+00,4.8614e+02,5.1850e+01,4.5546e+02,4.8152e+02,1.9955e+03,5.3554e+01,1.7034e+03,4.8614e+02,5.2318e+02,4.6069e+02
12.00,5.98,3.5523e-01,100,100,152598,2.0479e-05,6.5532e-04,5.9389e-01,3.8919e-06,8.2222e+00,4.9026e+02,5.2393e+01,4.5576e+02,4.7874e+02,1.9923e+03,5.3577e+01,1.7069e+03,4.9026e+02,5.2449e+02,4.6058e+02
13.00,6.98,3.1660e-01,100,100,1605544,1.9464e-06,6.2284e-05,6.2500e+00,3.8927e-06,8.2204e+00,4.8952e+02,5.2280e+01,4.5562e+02,4.8137e+02,1.9930e+03,5.3529e+01,1.7063e+03,4.8952e+02,5.2460e+02,4.6090e+02
14.00,7.98,2.8217e-01,100,100,23807584,1.3126e-07,4.2003e-06,9.2702e+01,3.8938e-06,8.2182e+00,4.8954e+02,5.2293e+01,4.5570e+02,4.8067e+02,1.9927e+03,5.3512e+01,1.7055e+03,4.8954e+02,5.2517e+02,4.6073e+02
15.00,8.98,2.5149e-01,100,100,841466342,3.7138e-09,1.1884e-07,3.2746e+03,3.8915e-06,8.2231e+00,4.9006e+02,5.2375e+01,4.5628e+02,4.8164e+02,1.9962e+03,5.3506e+01,1.7072e+03,4.9006e+02,5.2668e+02,4.6071e+02
