Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-6.02,1.4142e+00,490,100,101,1.5161e-01,9.9010e-01,2.8400e-03,2.8119e-05,1.1380e+06,2.6928e-06,1.1884e+01
1.00,-5.02,1.2604e+00,391,100,100,1.2219e-01,1.0000e+00,2.7141e-03,2.7141e-05,1.1790e+06,2.6467e-06,1.2090e+01
2.00,-4.02,1.1233e+00,308,100,107,8.9953e-02,9.3458e-01,2.8971e-03,2.7075e-05,1.1819e+06,2.6356e-06,1.2141e+01
3.00,-3.02,1.0012e+00,237,100,114,6.4967e-02,8.7719e-01,2.9124e-03,2.5548e-05,1.2526e+06,2.4939e-06,1.2831e+01
4.00,-2.02,8.9231e-01,179,100,130,4.3029e-02,7.6923e-01,3.1863e-03,2.4510e-05,1.3056e+06,2.4085e-06,1.3286e+01
5.00,-1.02,7.9527e-01,153,100,159,3.0071e-02,6.2893e-01,3.7796e-03,2.3771e-05,1.3462e+06,2.2870e-06,1.3992e+01
6.00,-0.02,7.0879e-01,129,100,213,1.8926e-02,4.6948e-01,5.0426e-03,2.3674e-05,1.3517e+06,2.3160e-06,1.3817e+01
7.00,0.98,6.3171e-01,115,100,485,7.4098e-03,2.0619e-01,1.1406e-02,2.3517e-05,1.3607e+06,2.3105e-06,1.3850e+01
8.00,1.98,5.6301e-01,107,100,744,4.4943e-03,1.3441e-01,1.9726e-02,2.6513e-05,1.2070e+06,2.9262e-06,1.0936e+01
9.00,2.98,5.0178e-01,105,100,2275,1.4423e-03,4.3956e-02,5.3070e-02,2.3328e-05,1.3718e+06,2.3487e-06,1.3625e+01
10.00,3.98,4.4721e-01,101,100,5441,5.8009e-04,1.8379e-02,1.2653e-01,2.3255e-05,1.3761e+06,2.3331e-06,1.3715e+01
11.00,4.98,3.9858e-01,100,100,22585,1.3837e-04,4.4277e-03,5.2048e-01,2.3045e-05,1.3886e+06,2.3223e-06,1.3779e+01
12.00,5.98,3.5523e-01,100,100,202687,1.5418e-05,4.9337e-04,4.6272e+00,2.2829e-05,1.4017e+06,2.3235e-06,1.3772e+01
13.00,6.98,3.1660e-01,100,100,1636532,1.9095e-06,6.1105e-05,3.7143e+01,2.2696e-05,1.4099e+06,2.3209e-06,1.3787e+01
14.00,7.98,2.8217e-01,100,100,19820044,1.5767e-07,5.0454e-06,4.4699e+02,2.2552e-05,1.4189e+06,2.3185e-06,1.3802e+01
15.00,8.98,2.5149e-01,100,100,1.0453e+09,2.9000e-10,1.0000e-07,1.9562e+04,2.2831e-05,1.8710e-05,2.3190e-06,1.3802e+01
