Eb/N0(dB),Es/N0(dB),Sigma,BE,FN,FE,BER,FER,Time_Total(s),Time_Avg(s)
0.00000000,0.00000000,0.70710677,269,108,100,0.07783565,0.92592591,0.00078022,0.00000722
1.00000000,1.00000000,0.63020957,226,113,100,0.06250000,0.88495576,0.00070697,0.00000626
2.00000000,2.00000000,0.56167489,162,133,100,0.03806391,0.75187969,0.00083097,0.00000625
3.00000000,3.00000000,0.50059325,142,175,100,0.02535714,0.57142860,0.00108400,0.00000619
4.00000000,4.00000000,0.44615421,117,288,100,0.01269531,0.34722221,0.00180834,0.00000628
5.00000000,5.00000000,0.39763537,115,572,100,0.00628278,0.17482518,0.00350593,0.00000613
6.00000000,6.00000000,0.35439289,105,1486,100,0.00220811,0.06729475,0.00836598,0.00000563
7.00000000,7.00000000,0.31585300,100,4214,100,0.00074158,0.02373042,0.02312961,0.00000549
8.00000000,8.00000000,0.28150427,100,17644,100,0.00017711,0.00566765,0.09652574,0.00000547
9.00000000,9.00000000,0.25089097,100,75694,100,0.00004128,0.00132111,0.41416914,0.00000547
10.00000000,10.00000000,0.22360680,100,857537,100,0.00000364,0.00011661,4.69514074,0.00000548
11.00000000,11.00000000,0.19928977,100,11880488,100,0.00000026,0.00000842,65.04255984,0.00000547
12.00000000,12.00000000,0.17761718,100,382752750,100,0.00000001,0.00000026,2095.12065590,0.00000547
