Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-3.01,1.0000e+00,288,100,112,8.0357e-02,8.9286e-01,1.6746e-03,1.4952e-05,2.1402e+06,5.8084e-07,5.5093e+01
1.00,-2.01,8.9125e-01,227,100,118,6.0117e-02,8.4746e-01,1.6511e-03,1.3992e-05,2.2870e+06,5.5586e-07,5.7569e+01
2.00,-1.01,7.9433e-01,173,100,131,4.1269e-02,7.6336e-01,1.8362e-03,1.4017e-05,2.2830e+06,5.6002e-07,5.7141e+01
3.00,-0.01,7.0795e-01,141,100,199,2.2142e-02,5.0251e-01,2.7456e-03,1.3797e-05,2.3194e+06,5.5084e-07,5.8093e+01
4.00,0.99,6.3096e-01,120,100,306,1.2255e-02,3.2680e-01,4.0360e-03,1.3189e-05,2.4262e+06,5.2791e-07,6.0617e+01
5.00,1.99,5.6234e-01,108,100,589,5.7301e-03,1.6978e-01,7.2150e-03,1.2250e-05,2.6123e+06,4.9126e-07,6.5138e+01
6.00,2.99,5.0119e-01,103,100,1438,2.2384e-03,6.9541e-02,1.7408e-02,1.2106e-05,2.6433e+06,4.8678e-07,6.5738e+01
7.00,3.99,4.4668e-01,101,100,3137,1.0061e-03,3.1878e-02,3.7868e-02,1.2071e-05,2.6509e+06,4.8492e-07,6.5991e+01
8.00,4.99,3.9811e-01,100,100,12417,2.5167e-04,8.0535e-03,1.4949e-01,1.2039e-05,2.6581e+06,4.8602e-07,6.5841e+01
9.00,5.99,3.5481e-01,100,100,71948,4.3434e-05,1.3899e-03,8.6621e-01,1.2039e-05,2.6579e+06,4.8795e-07,6.5581e+01
10.00,6.99,3.1623e-01,100,100,455406,6.8620e-06,2.1958e-04,5.4784e+00,1.2030e-05,2.6601e+06,4.8806e-07,6.5566e+01
11.00,7.99,2.8184e-01,100,100,4643300,6.7301e-07,2.1536e-05,5.5637e+01,1.1982e-05,2.6706e+06,4.8690e-07,6.5722e+01
12.00,8.99,2.5119e-01,100,100,95659112,3.2668e-08,1.0454e-06,1.1476e+03,1.1997e-05,2.6673e+06,4.8900e-07,6.5439e+01
